"","ID","Location","Sample Date","Volume.filtered.mL"
"613","NP-Inf-11-25-20-A","Newport",2020-11-25,30
"615","BD-Inf-11-26-20-A","Bend",2020-11-26,30
"617","NP-Inf-11-26-20-A","Newport",2020-11-26,30
"619","BD-Inf-11-27-20-A","Bend",2020-11-27,30
"621","BD-Inf-11-28-20-A","Bend",2020-11-28,30
"623","BD-Inf-11-29-20-A","Bend",2020-11-29,30
"625","COR-Inf-11-29-20-A","Corvallis",2020-11-29,30
"629","BD-Inf-11-30-20-A","Bend",2020-11-30,30
"631","COR-Inf-11-30-20-A","Corvallis",2020-11-30,30
"635","EUG-Inf-11-30-20-A","Eugene",2020-11-30,40
"644","COR-Inf-12-1-20-A","Corvallis",2020-12-01,30
"668","NP-Inf-12-2-20-A","Newport",2020-12-02,30
"676","BD-Inf-12-3-20-A","Bend",2020-12-03,30
"678","COR-Inf-12-3-20-A","Corvallis",2020-12-03,30
"688","NP-Inf-12-3-20-A","Newport",2020-12-03,30
"691","BD-Inf-12-5-20-A","Bend",2020-12-05,30
"693","COR-Inf-12-6-20-A","Corvallis",2020-12-06,30
"697","BD-Inf-12-7-20-A","Bend",2020-12-07,30
"699","COR-Inf-12-7-20-A","Corvallis",2020-12-07,30
"704","EUG-Inf-12-7-20-A","Eugene",2020-12-07,35
"710","RED-Inf-12-7-20-A","Redmond",2020-12-07,30
"717","COR-Inf-12-8-20-A","Corvallis",2020-12-08,30
"733","HER-Inf-12-9-20-A","Hermiston",2020-12-09,20
"745","NP-Inf-12-9-20-A","Newport",2020-12-09,30
"747","RED-Inf-12-9-20-A","Redmond",2020-12-09,25
"755","BD-Inf-12-10-20-A","Bend",2020-12-10,30
"757","COR-Inf-12-10-20-A","Corvallis",2020-12-10,30
"764","NP-Inf-12-10-20-A","Newport",2020-12-10,30
"773","RED-Inf-12-11-20-A","Redmond",2020-12-11,25
"776","BD-Inf-12-12-20-B","Bend",2020-12-12,30
"782","BD-Inf-12-14-20-B","Bend",2020-12-14,30
"784","COR-Inf-12-14-20-B","Corvallis",2020-12-14,30
"790","EUG-Inf-12-14-20-A","Eugene",2020-12-14,40
"796","RED-Inf-12-14-20-A","Redmond",2020-12-14,25
"802","COR-Inf-12-15-20-B","Corvallis",2020-12-15,30
"815","COR-Inf-12-16-20-A","Corvallis",2020-12-16,30
"817","HER-Inf-12-16-20-A","Hermiston",2020-12-16,30
"825","NP-Inf-12-16-20-A","Newport",2020-12-16,30
"829","RED-Inf-12-16-20-A","Redmond",2020-12-16,30
"835","BD-Inf-12-17-20-A","Bend",2020-12-17,25
"837","COR-Inf-12-17-20-A","Corvallis",2020-12-17,30
"841","NP-Inf-12-17-20-A","Newport",2020-12-17,30
"843","RED-Inf-12-18-20-A","Redmond",2020-12-18,25
"847","BD-Inf-12-19-20-A","Bend",2020-12-19,25
"849","RED-Inf-12-19-20-A","Redmond",2020-12-19,25
"853","COR-Inf-12-20-20-A","Corvallis",2020-12-20,30
"860","RED-Inf-12-20-20-A","Redmond",2020-12-20,25
"867","COR-Inf-12-21-20-A","Corvallis",2020-12-21,30
"871","EUG-Inf-12-21-20-A","Eugene",2020-12-21,50
"879","RED-Inf-12-21-20-A","Redmond",2020-12-21,25
"885","BD-Inf-12-22-20-A","Bend",2020-12-22,25
"889","COR-Inf-12-22-20-A","Corvallis",2020-12-22,30
"903","COR-Inf-12-23-20-A","Corvallis",2020-12-23,30
"905","HER-Inf-12-23-20-A","Hermiston",2020-12-23,30
"913","NP-Inf-12-23-20-A","Newport",2020-12-23,30
"917","BD-Inf-12-28-20-A","Bend",2020-12-24,30
"919","NP-Inf-12-24-20-A","Newport",2020-12-24,30
"925","COR-Inf-12-27-20-A","Corvallis",2020-12-27,30
"929","RED-Inf-12-27-20-A","Redmond",2020-12-27,30
"933","BD-Inf-12-24-20-A","Bend",2020-12-28,30
"935","COR-Inf-12-28-20-A","Corvallis",2020-12-28,30
"940","EUG-Inf-12-28-20-A","Eugene",2020-12-28,45
"950","RED-Inf-12-28-20-A","Redmond",2020-12-28,30
"957","COR-Inf-12-29-20-A","Corvallis",2020-12-29,30
"965","COR-Inf-12-30-20-A","Corvallis",2020-12-30,30
"969","HER-Inf-12-30-20-A","Hermiston",2020-12-30,30
"981","NP-Inf-12-30-20-A","Newport",2020-12-30,30
"987","NP-Inf-12-31-20-A","Newport",2020-12-31,30
"991","BD-Inf-1-1-21-A","Bend",2021-01-01,30
"995","COR-Inf-1-3-21-A","Corvallis",2021-01-03,30
"1001","COR-Inf-1-4-21-A","Corvallis",2021-01-04,30
"1008","EUG-Inf-1-4-21-A","Eugene",2021-01-04,50
"1019","BD-Inf-1-5-21-A","Bend",2021-01-05,30
"1025","RED-Inf-1-5-21-A","Redmond",2021-01-05,30
"1035","COR-Inf-1-6-21-A","Corvallis",2021-01-06,30
"1037","HER-Inf-1-6-21-A","Hermiston",2021-01-06,30
"1045","NP-Inf-1-6-21-A","Newport",2021-01-06,30
"1047","RED-Inf-1-6-21-A","Redmond",2021-01-06,30
"1061","BD-Inf-1-7-21-A","Bend",2021-01-07,30
"1063","COR-Inf-1-7-21-A","Corvallis",2021-01-07,30
"1073","NP-Inf-1-7-21-A","Newport",2021-01-07,40
"1083","COR-Inf-1-10-21-A","Corvallis",2021-01-10,30
"1085","RED-Inf-1-10-21-A","Redmond",2021-01-10,20
"1089","BD-Inf-1-11-21-A","Bend",2021-01-11,30
"1094","EUG-Inf-1-11-21-A","Eugene",2021-01-11,45
"1106","COR-Inf-1-12-21-A","Corvallis",2021-01-12,30
"1122","COR-Inf-1-13-21-A","Corvallis",2021-01-13,30
"1126","HER-Inf-1-13-21-A","Hermiston",2021-01-13,30
"1134","NP-Inf-1-13-21-A","Newport",2021-01-13,40
"1138","RED-Inf-1-13-21-A","Redmond",2021-01-13,15
"1144","BD-Inf-1-14-21-A","Bend",2021-01-14,30
"1146","COR-Inf-1-14-21-A","Corvallis",2021-01-14,30
"1157","NP-Inf-1-14-21-A","Newport",2021-01-14,40
"1168","COR-Inf-1-17-21-A","Corvallis",2021-01-17,30
"1170","COR-Inf-1-18-21-A","Corvallis",2021-01-18,30
"1173","EUG-Inf-1-18-21-A","Eugene",2021-01-18,40
"1181","RED-Inf-1-18-21-A","Redmond",2021-01-18,20
"1184","BD-Inf-1-19-21-A","Bend",2021-01-19,30
"1186","COR-Inf-1-19-21-A","Corvallis",2021-01-19,30
"1192","RED-Inf-1-19-21-A","Redmond",2021-01-19,10
"1212","HER-Inf-1-20-21-A","Hermiston",2021-01-20,30
"1220","NP-Inf-1-20-21-A","Newport",2021-01-20,30
"1230","BD-Inf-1-21-21-A","Bend",2021-01-21,30
"1232","COR-Inf-1-21-21-A","Corvallis",2021-01-21,30
"1241","NP-Inf-1-21-21-A","Newport",2021-01-21,30
