"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"267","NP-Bayfront-6-19-20-A","RP",1.54264271259308,"HEX",2.46714043617249,0.884509563446045,11447,15,11432,"NP-Bayfront",06/19/20,"Newport"
"273","NP-San-Bay-O-6-18-20-A","RP",1.31190276145935,"HEX",2.09799575805664,0.752241015434265,13459,15,13444,"NP-San-Bay-O",06/18/20,"Newport"
"277","NP-MinnieSt-6-18-20-A","N1",0,"FAM",0.249280780553818,0,14141,0,14141,"NP-MinnieSt",06/18/20,"Newport"
"278","NP-MinnieSt-6-18-20-A","N2",0.0831986591219902,"FAM/HEX",0.397409856319427,0.00349422520957887,14141,1,14140,"NP-MinnieSt",06/18/20,"Newport"
"279","NP-MinnieSt-6-18-20-A","RP",1.33188509941101,"HEX",2.10056924819946,0.778636693954468,14141,16,14125,"NP-MinnieSt",06/18/20,"Newport"
"582","NP-BigCreek-6-19-20-A","RP",4.16983222961426,"HEX",5.69190883636475,2.94769883155823,10175,36,10139,"NP-BigCreek",06/19/20,"Newport"
"583","NP-32ndSt-6-17-20-A","N1",0,"FAM",0.341590881347656,0,10320,0,10320,"NP-32ndSt",06/17/20,"Newport"
"584","NP-32ndSt-6-17-20-A","N2",0.114004604518414,"FAM/HEX",0.544585645198822,0.00478797126561403,10320,1,10319,"NP-32ndSt",06/17/20,"Newport"
"585","NP-32ndSt-6-17-20-A","RP",1.02643942832947,"HEX",1.86011099815369,0.489385843276978,10320,9,10311,"NP-32ndSt",06/17/20,"Newport"
"587","NP-48thSt-6-19-20-A","N2",0.290056854486465,"FAM/HEX",0.929304540157318,0.0439390167593956,8113,2,8111,"NP-48thSt",06/19/20,"Newport"
"588","NP-48thSt-6-19-20-A","RP",3.4854109287262,"HEX",5.08154249191284,2.26550436019897,8113,24,8089,"NP-48thSt",06/19/20,"Newport"
"589","NP-56thSt-6-19-20-A","N1",0,"FAM",0.38053497672081,0,9264,0,9264,"NP-56thSt",06/19/20,"Newport"
"591","NP-56thSt-6-19-20-A","RP",1.27062392234802,"HEX",2.23899817466736,0.632472097873688,9264,10,9254,"NP-56thSt",06/19/20,"Newport"
"592","NP-Hatfield-6-18-20-A","N1",0.124606318771839,"FAM",0.595238864421844,0.005233199801296,9442,1,9441,"NP-Hatfield",06/18/20,"Newport"
"593","NP-Hatfield-6-18-20-A","N2",0.249225839972496,"FAM/HEX",0.798456728458405,0.0377543233335018,9442,2,9440,"NP-Hatfield",06/18/20,"Newport"
"594","NP-Hatfield-6-18-20-A","RP",5.62039136886597,"HEX",7.43576145172119,4.1289963722229,9442,45,9397,"NP-Hatfield",06/18/20,"Newport"
"911","NP-10thSt-6-18-20-A","N2",0,"FAM/HEX",0.328904509544373,0,10718,0,10718,"NP-10thSt",06/18/20,"Newport"
"912","NP-10thSt-6-18-20-A","RP",1.42782235145569,"HEX",2.35848665237427,0.781902492046356,10718,13,10705,"NP-10thSt",06/18/20,"Newport"
"913","NP-10thSt-6-18-20-A","N1",0.100859068334103,"FAM",0.481780916452408,0.00423590699210763,11665,1,11664,"NP-10thSt",06/18/20,"Newport"
"914","NP-10thSt-6-18-20-A","N2",0,"FAM/HEX",0.302199631929398,0,11665,0,11665,"NP-10thSt",06/18/20,"Newport"
"915","NP-10thSt-6-18-20-A","RP",0.908043026924133,"HEX",1.64548599720001,0.43294820189476,11665,9,11656,"NP-10thSt",06/18/20,"Newport"
"916","NP-RunningSprings-6-18-20-A","N1",0.255643308162689,"FAM",0.819021642208099,0.0387263968586922,9205,2,9203,"NP-RunningSprings",06/18/20,"Newport"
"917","NP-RunningSprings-6-18-20-A","N2",0,"FAM/HEX",0.382974416017532,0,9205,0,9205,"NP-RunningSprings",06/18/20,"Newport"
"918","NP-RunningSprings-6-18-20-A","RP",1.27877247333527,"HEX",2.25336289405823,0.636527061462402,9205,10,9195,"NP-RunningSprings",06/18/20,"Newport"
"944","NP-32ndSt-6-17-20-A","N2",0.118351250886917,"FAM/HEX",0.565352976322174,0.0049705128185451,9941,1,9940,"NP-32ndSt",06/17/20,"Newport"
"945","NP-32ndSt-6-17-20-A","RP",1.65800189971924,"HEX",2.69259405136108,0.930325031280518,9941,14,9927,"NP-32ndSt",06/17/20,"Newport"
